status,confidence,match_reason,remote_duplicate_group,remote_path,remote_title,remote_artist,remote_album_artist,remote_album,remote_duration_seconds,remote_size_bytes,remote_youtube_id,remote_resolved_youtube_id,remote_spotify_id,remote_musicbrainz_track_id,local_path,local_title,local_artist,local_album_artist,local_album,local_duration_seconds,local_youtube_id,local_resolved_youtube_id,local_spotify_id,local_musicbrainz_track_id
present_same_path,certain,same_path,no,Kishida Kyoudan & The Akeboshi Rockets/Unknown Album/360 岸田教団&THE.m4a,岸田教団&THE,Kishida Kyoudan & The Akeboshi Rockets,Kishida Kyoudan & The Akeboshi Rockets,Unknown Album,229.334,3931709,jbpcXLcchrA,jbpcXLcchrA,,,Kishida Kyoudan & The Akeboshi Rockets/Unknown Album/360 岸田教団&THE.m4a,岸田教団&THE,Kishida Kyoudan & The Akeboshi Rockets,Kishida Kyoudan & The Akeboshi Rockets,Unknown Album,229.355,jbpcXLcchrA,jbpcXLcchrA,,
present_same_path,certain,same_path,no,The Offspring/Ixnay On The Hombre/10 All I Want.m4a,All I Want,The Offspring,The Offspring,Ixnay On The Hombre,114.667,2250142,us8OhI-OTHg,ldGdFnvSCSQ,717oSBYrcR8awQgUsmyE32,0a19ddc2-e9d8-4ea0-961e-88c5ac41f45f,The Offspring/Ixnay On The Hombre/10 All I Want.m4a,All I Want,The Offspring,The Offspring,Ixnay On The Hombre,114.688,us8OhI-OTHg,ldGdFnvSCSQ,717oSBYrcR8awQgUsmyE32,0a19ddc2-e9d8-4ea0-961e-88c5ac41f45f
present_same_path,certain,same_path,no,Furukawa Honpo/Hail Against the Barn Door/03 問うてはその応え - Toute Wa Sono Kotae.m4a,問うてはその応え - Toute Wa Sono Kotae,Furukawa Honpo,Furukawa Honpo,Hail Against the Barn Door,321.270,5444179,p04rexUGwtw,gWz7P9vRfmU,,,Furukawa Honpo/Hail Against the Barn Door/03 問うてはその応え - Toute Wa Sono Kotae.m4a,問うてはその応え - Toute Wa Sono Kotae,Furukawa Honpo,Furukawa Honpo,Hail Against the Barn Door,321.291,p04rexUGwtw,gWz7P9vRfmU,,
present_same_path,certain,same_path,no,lical/filmeld filament/944 群青的終末論 - navy bluish apocalypse.m4a,群青的終末論 - navy bluish apocalypse,lical,lical,filmeld filament,187.240,3431568,jGDgdodnIh0,jGDgdodnIh0,3msTsgQaQKrFvn8QBLBNdg,,lical/filmeld filament/944 群青的終末論 - navy bluish apocalypse.m4a,群青的終末論 - navy bluish apocalypse,lical,lical,filmeld filament,187.261,jGDgdodnIh0,jGDgdodnIh0,3msTsgQaQKrFvn8QBLBNdg,
present_same_path,certain,same_path,no,"KIKUO/Kikuo Miku 3/02 愛して 愛して 愛して - Love me, Love me, Love me (feat. Hatsune Miku).m4a","愛して　愛して　愛して - Love me, Love me, Love me (feat. Hatsune Miku)",KIKUO,KIKUO,Kikuo Miku 3,252.001,4557535,NTrm_idbhUk,KxNOBCyGhnk,,,"KIKUO/Kikuo Miku 3/02 愛して 愛して 愛して - Love me, Love me, Love me (feat. Hatsune Miku).m4a","愛して　愛して　愛して - Love me, Love me, Love me (feat. Hatsune Miku)",KIKUO,KIKUO,Kikuo Miku 3,252.021,NTrm_idbhUk,KxNOBCyGhnk,,
present_same_path,certain,same_path,no,Paramore/Unknown Album/517 Paramore - Still Into You (Studio Vocals).m4a,Paramore - Still Into You (Studio Vocals),Paramore,Paramore,Unknown Album,226.465,3889025,wrCxfWVuDXU,wrCxfWVuDXU,3SXXFIZel1VQQ4ENiqozxi,,Paramore/Unknown Album/517 Paramore - Still Into You (Studio Vocals).m4a,Paramore - Still Into You (Studio Vocals),Paramore,Paramore,Unknown Album,226.486,wrCxfWVuDXU,wrCxfWVuDXU,3SXXFIZel1VQQ4ENiqozxi,
present_same_path,certain,same_path,no,Pe'z/Pe'z Best 1st Stage _Ai_/521 Akatsuki.m4a,Akatsuki,Pe'z,Pe'z,"Pe'z Best 1st Stage ""Ai""",268.654,4651858,QlazYe2VBlA,QlazYe2VBlA,2rMyvFNpYU7KQeFneEYfP2,1776b2e0-429f-4f28-90ac-30115854428e,Pe'z/Pe'z Best 1st Stage _Ai_/521 Akatsuki.m4a,Akatsuki,Pe'z,Pe'z,"Pe'z Best 1st Stage ""Ai""",268.675,QlazYe2VBlA,QlazYe2VBlA,2rMyvFNpYU7KQeFneEYfP2,1776b2e0-429f-4f28-90ac-30115854428e
present_same_path,certain,same_path,no,Modest Mouse/Good News For People Who Love Bad News/442 The World At Large (Official Audio).m4a,The World At Large (Official Audio),Modest Mouse,Modest Mouse,Good News For People Who Love Bad News,272.507,4546391,1TXdU9LMmv4,FIJKJdsAszw,5op53ANI4exiWqFHKuwWxd,bd27c9e5-42d7-4191-a6d5-65013a2d6fd3,Modest Mouse/Good News For People Who Love Bad News/442 The World At Large (Official Audio).m4a,The World At Large (Official Audio),Modest Mouse,Modest Mouse,Good News For People Who Love Bad News,272.528,1TXdU9LMmv4,FIJKJdsAszw,5op53ANI4exiWqFHKuwWxd,bd27c9e5-42d7-4191-a6d5-65013a2d6fd3
present_same_path,certain,same_path,no,tricot/Break/02 After School.m4a,After School,tricot,tricot,Break,243.240,4151733,hcrsrN1jc0w,hcrsrN1jc0w,5FNLRcdfUxtCDAgL1k1b1A,3a8e8d86-e552-4e84-9840-6a7d05340f77,tricot/Break/02 After School.m4a,After School,tricot,tricot,Break,243.261,hcrsrN1jc0w,hcrsrN1jc0w,5FNLRcdfUxtCDAgL1k1b1A,3a8e8d86-e552-4e84-9840-6a7d05340f77
present_same_path,certain,same_path,yes,tricot/Break/01 Break.m4a,Break,tricot,tricot,Break,242.510,3972270,q3D-yKRRt5s,q3D-yKRRt5s,6ceSg6RqlWb0Ea7iIXthye,,tricot/Break/01 Break.m4a,Break,tricot,tricot,Break,242.531,q3D-yKRRt5s,q3D-yKRRt5s,6ceSg6RqlWb0Ea7iIXthye,
present_same_path,certain,same_path,yes,tricot/WALKING/01 餌にもなれない - WALKING.m4a,餌にもなれない - WALKING,tricot,tricot,WALKING,247.000,4212388,AGs1kb9Douc,AGs1kb9Douc,2zTXcNQVV9tS3ux8zOILlM,a98b3c72-b649-4dcf-9cff-9eb8e38d3ef8,tricot/WALKING/01 餌にもなれない - WALKING.m4a,餌にもなれない - WALKING,tricot,tricot,WALKING,247.021,AGs1kb9Douc,AGs1kb9Douc,2zTXcNQVV9tS3ux8zOILlM,a98b3c72-b649-4dcf-9cff-9eb8e38d3ef8
