timestamp_utc,kind,relative_path,outcome
2026-08-29T06:35:00.745329+00:00,audio,171/Unknown Album/05 紡 (Live at 京都GROWLY 2024.12.28).m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,171/Unknown Album/05 紡 (Live at 京都GROWLY 2024.12.28).lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,171/my second car/06 インターセクション - Intersection.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,171/my second car/06 インターセクション - Intersection.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,36km_h/Unknown Album/07 時速36km _ ハロー 【MusicVideo】.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,36km_h/Unknown Album/07 時速36km _ ハロー 【MusicVideo】.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,6OCK/Unknown Album/08 Rche-Todestrieb[Remix].m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,6OCK/Unknown Album/08 Rche-Todestrieb[Remix].lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,88kasyo junrei/Unknown Album/02 絶妙Σ／八十八ヶ所巡礼.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,88kasyo junrei/Unknown Album/02 絶妙Σ／八十八ヶ所巡礼.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,88kasyo junrei/Unknown Album/03 八十八ヶ所巡礼／紫光.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,88kasyo junrei/Unknown Album/03 八十八ヶ所巡礼／紫光.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,AKAIKO-EN/Kienai - Ep/06 凛々爛々 - Rinrin Ranran.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,AKAIKO-EN/Kienai - Ep/06 凛々爛々 - Rinrin Ranran.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,AKAIKO-EN/Orange _ pray/07 オレンジ - Orange.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,AKAIKO-EN/Orange _ pray/07 オレンジ - Orange.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,ALBA SERA/Ego/08 エゴイスト - EGOIST.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,ALBA SERA/Ego/08 エゴイスト - EGOIST.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,AMAIDANTOUDAI/Memoire Rouge/03 Bloody Dress.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,AMAIDANTOUDAI/Memoire Rouge/03 Bloody Dress.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,ATLANTIS AIRPORT Official YouTube Channel/Unknown Album/05 ATLANTIS AIRPORT - 【映画の中の出来事】MV.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,ATLANTIS AIRPORT Official YouTube Channel/Unknown Album/05 ATLANTIS AIRPORT - 【映画の中の出来事】MV.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,AZgkft/Unknown Album/06 Anri-Shyness Boy.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,AZgkft/Unknown Album/06 Anri-Shyness Boy.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Ado/Kyougen/02 踊 - Odo.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Ado/Kyougen/02 踊 - Odo.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Aelst system/Unknown Album/08 tfvsjs- _阡陌_.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Aelst system/Unknown Album/08 tfvsjs- _阡陌_.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Ai Higuchi/Unknown Album/09 ヒグチアイ (Ai Higuchi) _ 前線 (Zensen).m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Ai Higuchi/Unknown Album/09 ヒグチアイ (Ai Higuchi) _ 前線 (Zensen).lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,"Aiobahn, Yuka Nagase/sora de oyasumi/13 宙でおやすみ - sora de oyasumi.m4a",deleted
2026-08-29T06:35:00.745329+00:00,sidecar,"Aiobahn, Yuka Nagase/sora de oyasumi/13 宙でおやすみ - sora de oyasumi.lrc",deleted
2026-08-29T06:35:00.745329+00:00,audio,Aiobahn/all connected EP m3 repack/12 宙でおやすみ (demo instrumental).m4a,deleted
