source_path,current_title,current_artist_metadata,current_album,current_source_url,expected_album_or_official_url,category,root_cause,app_gap,confidence
"/Users/louismollick/Music/liked-music-syncer/時速36km/Unknown Album/05 時速36km _ ハロー 【MusicVideo】.m4a","時速36km / ハロー 【MusicVideo】",時速36km,"Unknown Album",https://music.youtube.com/watch?v=fVNf--kI88Q,https://youtube.com/watch?v=MAmYVK9uLxI,metadata/title pollution,"The liked item is an artist music video whose title carries presentation text and whose catalog relationship is not exposed through the source record.","The resolver only accepts a catalog result after it has an album ID and does not have a direct official-MV-to-album lookup.",high
"/Users/louismollick/Music/liked-music-syncer/AsianIceCreamJK/Unknown Album/54 Tommy Heavenly - Pray [Opening 1 Gintama](Sub Español - Romaji).m4a","Tommy Heavenly - Pray [Opening 1 Gintama](Sub Español - Romaji)",AsianIceCreamJK,"Unknown Album",https://music.youtube.com/watch?v=nlgGxEmeaW8,https://youtube.com/watch?v=q6rj0VSGHwg,uploader/artist mismatch,"The stored artist is the uploader/channel, while the performer is embedded in a noisy title with opening and subtitle annotations.","The parser has limited separator and quote handling, and the search query is built from the stored artist/title instead of a robust performer/title extraction.",high
"/Users/louismollick/Music/liked-music-syncer/CRUX labe/Unknown Album/103 WHITE ASH _ Crowds【Music Video Short Ver】.m4a","WHITE ASH / Crowds【Music Video Short Ver】","CRUX labe","Unknown Album",https://music.youtube.com/watch?v=lfk8sqQ-qEI,https://youtube.com/watch?v=Fendx-mAWps,version/title normalization,"The source is a short-version music video uploaded by a label channel, while the normal album track is available from the artist catalog.","The matcher treats the source title's short marker as a version constraint and lacks a preferred normal-album fallback for a short official video.",high
"/Users/louismollick/Music/liked-music-syncer/ChiorixToto/Unknown Album/114 Uplift spice - Starburst.m4a","Uplift spice - Starburst",ChiorixToto,"Unknown Album",https://music.youtube.com/watch?v=tRQZMO1VBm8,https://youtube.com/watch?v=nczl696CQqo,uploader/artist mismatch,"The uploader is unrelated to UPLIFT SPICE, and the title uses an artist-title string rather than dependable YT Music artist metadata.","The resolver does not promote a strong artist name parsed from an uploader title when source metadata names a different channel.",high
"/Users/louismollick/Music/liked-music-syncer/Christiana/Unknown Album/117 ハイスイノナサ - 平熱の街.m4a","ハイスイノナサ - 平熱の街",Christiana,"Unknown Album",https://music.youtube.com/watch?v=JApcr0txEw4,https://youtube.com/watch?v=qqDvOViBXN0,uploader/artist mismatch,"The source artist is a repost channel; the official catalog identity is Haisuinonasa and the title contains both artist and track.","Artist recovery from a simple hyphenated title is not consistently applied before the catalog search.",high
"/Users/louismollick/Music/liked-music-syncer/Cö shu Nie/Unknown Album/138 Cö shu Nie – asphyxia (Official Video) _ “東京喰種トーキョーグール_re” OP.m4a","Cö shu Nie – asphyxia (Official Video) / “東京喰種トーキョーグール:re” OP","Cö shu Nie","Unknown Album",https://music.youtube.com/watch?v=ksAJIsl047w,https://youtube.com/watch?v=ZB9UvUJL_lE,metadata/title pollution,"The official video title includes video, anime, and punctuation annotations that are not part of the album track identity.","Title normalization does not remove all bracketed, quoted, and slash-separated promotional text before matching.",high
"/Users/louismollick/Music/liked-music-syncer/David Dean Burkhart/Unknown Album/158 Skinshape - I Didn't Know.m4a","Skinshape - I Didn't Know","David Dean Burkhart","Unknown Album",https://music.youtube.com/watch?v=CnD8g_7_-bY,https://youtube.com/watch?v=ulOgzjdBdzY,uploader/artist mismatch,"The source is a curator upload, not the artist channel, even though the title contains a clean artist-title pair.","The app does not use a reliable title-derived artist when source artist metadata points at a curator channel.",high
"/Users/louismollick/Music/liked-music-syncer/LilyChouChou2000/Unknown Album/389 Lily Chou-Chou「エーテル」Music Video.m4a","Lily Chou-Chou「エーテル」Music Video",LilyChouChou2000,"Unknown Album",https://music.youtube.com/watch?v=MTlH-4tt9Vo,https://youtube.com/watch?v=rjjUEjVpwTo,metadata/title pollution,"The source is an artist music video with Japanese quote punctuation and a video suffix; the album/single release is a separate catalog result.","The resolver lacks a direct music-video-to-single lookup and its quote parsing does not cover this Japanese title form.",medium
"/Users/louismollick/Music/liked-music-syncer/Qualia/Unknown Album/547 Nujabes - F.I.L.O. Feat. Shing02.m4a","Nujabes - F.I.L.O. Feat. Shing02",Qualia,"Unknown Album",https://music.youtube.com/watch?v=xfNF8ZGvY8A,https://youtube.com/watch?v=7AjHIIjrC8E,uploader/artist mismatch,"The source is a repost channel and the real artist is embedded in the title.","The search pipeline does not reliably recover artist identity from title text when the source artist is a channel name.",high
"/Users/louismollick/Music/liked-music-syncer/April/Unknown Album/46 ねこぼーろ - 嘘と絵画.m4a","ねこぼーろ - 嘘と絵画",April,"Unknown Album",https://music.youtube.com/watch?v=N-80E_FRMuM,https://youtube.com/watch?v=iPnFLl5LiYY,uploader/artist mismatch,"The source is an uploader channel, while the album compilation result exposes the release context for the same track.","The matcher does not reliably connect a clean artist-title string from a repost to a catalog album result when the source artist is the uploader.",medium
"/Users/louismollick/Music/liked-music-syncer/Kevin Zamora/Unknown Album/351 tricot - Pork Ginger (ポークジンジャー) _ english_japanese_romaji lyrics 歌詞.m4a","tricot - Pork Ginger (ポークジンジャー) | english/japanese/romaji lyrics 歌詞","Kevin Zamora","Unknown Album",https://music.youtube.com/watch?v=aLUYB0YgNX0,https://youtube.com/watch?v=h0Q_y54F070,metadata/title pollution,"The title is a lyric-video title with language and lyrics annotations; the official artist MV is a separate result.","The title normalizer does not remove all language/lyrics suffixes before comparing against the catalog title.",high
